,Flux
AMP_ATP_xc_Close,0.0
AMP_ATP_xc_Day,0.0
AMP_ATP_xc_Night,0.0
AMP_ATP_xc_Open,0.0
AMP_pc_Close,0.0
AMP_pc_Day,0.0
AMP_pc_Night,0.0
AMP_pc_Open,0.0
ANTHRANSYN_RXN_p_Close,0.0
ANTHRANSYN_RXN_p_Day,0.0
ANTHRANSYN_RXN_p_Night,0.0
ANTHRANSYN_RXN_p_Open,0.0
ARGININE_TRNA_LIGASE_RXN_c_Close,0.0
ARGININE_TRNA_LIGASE_RXN_c_Day,0.0
ARGININE_TRNA_LIGASE_RXN_c_Night,0.0
ARGININE_TRNA_LIGASE_RXN_c_Open,0.0
ARGSUCCINLYA_RXN_c_Close,0.0
ARGSUCCINLYA_RXN_c_Day,0.0
ARGSUCCINLYA_RXN_c_Night,0.0
ARGSUCCINLYA_RXN_c_Open,0.0
ARGSUCCINSYN_RXN_c_Close,0.0
ARGSUCCINSYN_RXN_c_Day,0.0
ARGSUCCINSYN_RXN_c_Night,0.0
ARGSUCCINSYN_RXN_c_Open,0.0
ARG_CITRULLINE_mc_Close,0.0
ARG_CITRULLINE_mc_Day,0.0
ARG_CITRULLINE_mc_Night,0.0
ARG_CITRULLINE_mc_Open,0.0
ARG_HIS_mc_Close,0.0
ARG_HIS_mc_Day,0.0
ARG_HIS_mc_Night,0.0
ARG_HIS_mc_Open,0.0
ARG_LYS_mc_Close,0.0
ARG_LYS_mc_Day,0.0
ARG_LYS_mc_Night,0.0
ARG_LYS_mc_Open,0.0
ARG_ORNITHINE_mc_Close,0.0
ARG_ORNITHINE_mc_Day,0.0
ARG_ORNITHINE_mc_Night,0.0
ARG_ORNITHINE_mc_Open,0.0
ARG_PROTON_rev_vc_Close,0.0
ARG_PROTON_rev_vc_Day,0.0
ARG_PROTON_rev_vc_Night,0.0
ARG_PROTON_rev_vc_Open,0.0
ARG_PROTON_vc_Close,0.0
ARG_PROTON_vc_Day,0.0
ARG_PROTON_vc_Night,0.0
ARG_PROTON_vc_Open,0.0
ARG_mc_Close,0.0
ARG_mc_Day,0.0
ARG_mc_Night,0.0
ARG_mc_Open,0.0
ASNSYNA_RXN_c_Close,0.0
ASNSYNA_RXN_c_Day,0.0
